"","DATE","WeatherStation","Date","Tmax","Tmin","RHMax","RHMin","ISODate","Year","Month","Day","JDay","Hour","Temp"
"4910",2019-06-25 12:00:00,"Fieldstone",2019-06-25 16:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,16,28.3149522730361
"5210",2019-06-25 12:00:00,"Fieldstone",2019-06-25 17:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,17,27.5981870721414
"5510",2019-06-25 12:00:00,"Fieldstone",2019-06-25 18:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,18,26.621481316077
"5810",2019-06-25 12:00:00,"Fieldstone",2019-06-25 19:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,19,25.4107464754649
"6110",2019-06-25 12:00:00,"Fieldstone",2019-06-25 20:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,20,23.749714382324
"6410",2019-06-25 12:00:00,"Fieldstone",2019-06-25 21:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,21,22.3654116295417
"6710",2019-06-25 12:00:00,"Fieldstone",2019-06-25 22:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,22,21.4768989242999
"7010",2019-06-25 12:00:00,"Fieldstone",2019-06-25 23:00:00,28.9,17.8,98,37,2019-06-25,2019,6,25,176,23,20.8212351278701
"2100",2019-06-26 12:00:00,"Fieldstone",2019-06-26 00:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,0,20.090746802343
"5100",2019-06-26 12:00:00,"Fieldstone",2019-06-26 01:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,1,19.6384500875344
"810",2019-06-26 12:00:00,"Fieldstone",2019-06-26 02:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,2,19.2522753438598
"1110",2019-06-26 12:00:00,"Fieldstone",2019-06-26 03:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,3,18.9153326979859
"1410",2019-06-26 12:00:00,"Fieldstone",2019-06-26 04:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,4,18.6164768384733
"1710",2019-06-26 12:00:00,"Fieldstone",2019-06-26 05:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,5,20.0543039219365
"2010",2019-06-26 12:00:00,"Fieldstone",2019-06-26 06:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,6,22.0080420991087
"2310",2019-06-26 12:00:00,"Fieldstone",2019-06-26 07:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,7,23.876641485273
"2610",2019-06-26 12:00:00,"Fieldstone",2019-06-26 08:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,8,25.6105109941217
"2910",2019-06-26 12:00:00,"Fieldstone",2019-06-26 09:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,9,27.1636351591528
"3210",2019-06-26 12:00:00,"Fieldstone",2019-06-26 10:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,10,28.4947953461929
"3510",2019-06-26 12:00:00,"Fieldstone",2019-06-26 11:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,11,29.5686636619472
"3810",2019-06-26 12:00:00,"Fieldstone",2019-06-26 12:00:00,31,18.8,95,43,2019-06-26,2019,6,26,177,12,30.3567405271459
